BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
11,11,56,11,11,11,12,220,10,510734
11,11,56,11,11,11,12,220,10,511259
11,11,56,11,11,11,12,220,10,511760
11,139,56,11,11,11,20,84,10,512799
11,139,56,11,11,11,20,84,10,513598
11,139,56,11,11,11,20,84,10,514629
11,139,56,11,11,11,20,84,10,515417
11,139,56,11,11,11,20,84,10,516447
11,139,56,11,11,11,20,84,10,517227
11,139,56,11,11,11,20,84,10,518237
11,139,56,11,11,11,20,84,10,519036
11,139,56,11,11,11,20,84,10,520051
11,139,56,11,11,11,20,84,10,520847
11,139,56,11,11,11,20,84,10,521862
11,139,56,11,11,11,11,93,10,522660
11,139,56,11,11,11,20,84,10,523675
11,139,56,11,11,11,20,84,10,524468
11,139,56,11,11,11,11,93,10,525473
11,139,56,11,11,11,20,84,10,526490
11,139,56,11,11,11,20,84,10,527288
11,139,56,11,11,11,11,93,10,528299
11,139,56,11,11,11,11,93,10,529300
11,139,56,11,11,11,11,93,10,530299
11,139,56,11,11,11,11,93,10,531300
11,139,56,11,11,11,11,93,10,532317
11,139,56,11,11,11,11,93,10,533317
11,139,56,11,11,11,11,93,10,534316
11,139,56,11,11,11,11,93,10,535316
11,139,56,11,11,11,11,93,10,536338
11,139,56,11,11,11,11,93,10,537333
11,139,56,11,11,11,11,93,10,538346
11,139,56,11,11,11,11,93,10,539348
11,139,56,11,11,11,11,93,10,540349
11,139,56,11,11,11,11,93,10,541362
11,139,56,11,11,11,11,93,10,542365
11,139,56,11,11,11,11,93,10,543378
11,139,56,11,11,11,11,93,10,544395
11,139,56,11,11,11,11,93,10,545395
11,139,56,11,11,11,11,93,10,546394
11,139,56,11,11,11,11,93,10,547396
11,139,56,11,11,11,11,93,10,548412
11,139,56,11,11,11,11,93,10,549426
11,139,56,11,11,11,11,93,10,550440
11,139,56,11,11,11,11,93,10,551442
11,139,56,11,11,11,11,93,10,552456
11,139,56,11,11,11,11,93,10,553456
11,139,56,11,11,11,11,93,10,554457
11,139,56,11,11,11,11,93,10,555472
11,139,56,11,11,11,11,93,10,556472
11,139,56,11,11,11,11,93,10,557473
11,139,56,11,11,11,11,93,10,558489
11,139,56,11,11,11,11,93,10,559490
11,139,56,11,11,11,11,93,10,771973
11,139,56,11,11,11,11,93,10,776002
11,139,56,11,11,11,11,93,10,787082
11,139,56,11,11,11,11,93,10,790129
11,139,56,11,11,11,11,93,10,792158
11,139,56,11,11,11,11,93,10,800192
11,139,56,11,11,11,11,93,10,803208
11,139,56,11,11,11,11,93,10,809237
11,139,56,11,11,11,11,93,10,815302
11,139,56,11,11,11,11,93,10,816302
11,139,56,11,11,11,11,93,10,817316
11,139,56,11,11,11,11,93,10,818317
11,139,56,11,11,11,11,93,10,819318
11,139,56,11,11,11,11,93,10,820318
11,139,56,11,11,11,11,93,10,821330
11,139,56,11,11,11,11,93,10,822330
11,139,56,11,11,11,11,93,10,823331
11,139,56,11,11,11,11,93,10,824348
11,139,56,11,11,11,11,93,10,825363
11,139,56,11,11,11,11,93,10,826364
11,139,56,11,11,11,11,93,10,827379
11,139,56,11,11,11,11,93,10,828394
11,139,56,11,11,11,11,93,10,829396
11,139,56,11,11,11,11,93,10,830410
11,139,56,11,11,11,11,93,10,831411
11,139,56,11,11,11,11,93,10,832410
11,139,56,11,11,11,11,93,10,833425
11,139,56,11,11,11,11,93,10,834425
11,139,56,11,11,11,11,93,10,835425
11,139,56,11,11,11,11,93,10,836424
11,139,56,11,11,11,11,93,10,837427
11,139,56,11,11,11,12,92,10,838426
11,139,56,11,11,11,12,92,10,839427
11,139,56,11,11,11,12,92,10,840440
11,139,56,11,11,11,12,92,10,841442
11,139,56,11,11,11,12,92,10,842473
11,139,56,11,11,11,12,92,10,843490
11,139,56,11,11,11,12,92,10,844520
11,139,56,11,11,11,12,92,10,845535
11,139,56,11,11,11,12,92,10,846536
11,139,56,11,11,11,12,92,10,847552
11,139,56,11,11,11,12,92,10,848567
11,139,56,11,11,11,12,92,10,849567
11,139,56,11,11,11,12,92,10,850581
11,139,56,11,11,11,12,92,10,851597
11,139,56,11,11,11,12,92,10,852597
11,139,56,11,11,11,12,92,10,853611
11,139,56,11,11,11,12,92,10,854614
11,139,56,11,11,11,12,92,10,859172
11,139,56,11,11,11,12,92,10,859672
11,139,56,11,11,11,12,92,10,860173
11,139,56,11,11,11,12,92,10,860674
11,139,56,11,11,11,12,92,10,861175
11,139,56,11,11,11,12,92,10,861676
11,139,56,11,11,11,12,92,10,862177
11,139,56,11,11,11,12,92,10,862678
11,139,56,11,11,11,12,92,10,863179
11,139,56,11,11,11,12,92,10,863693
