BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
39,11,45,21,21,21,136,107,10,435469
23,11,46,21,21,135,139,234,10,435475
23,11,47,21,21,135,139,233,10,435479
23,11,48,21,21,188,125,193,10,435482
23,11,49,21,21,188,125,192,10,435487
23,11,50,21,21,188,125,191,10,435492
43,11,52,11,11,12,17,228,10,435497
11,11,55,11,99,155,27,229,10,435502
27,11,11,11,13,18,205,73,10,435531
27,11,12,11,79,21,158,50,10,435591
23,11,13,21,20,29,21,237,10,435593
75,11,14,11,11,11,12,17,10,435598
87,11,15,21,21,11,11,17,10,435601
11,11,16,11,11,14,242,27,10,435603
11,11,42,11,11,11,11,235,10,435608
11,11,43,11,11,28,11,217,10,435613
11,11,44,11,11,28,11,216,10,435616
11,11,45,11,11,11,54,189,10,435620
23,11,46,21,21,135,128,245,10,435626
23,11,47,21,21,135,128,244,10,435629
23,11,48,21,21,188,122,196,10,435632
23,11,49,21,21,188,122,195,10,435638
23,11,50,21,21,188,122,194,10,435642
43,11,52,11,11,12,17,228,10,435646
11,11,55,11,99,155,27,229,10,435651
39,11,11,21,21,18,205,75,10,435654
27,11,12,11,79,21,165,43,10,435658
23,11,13,21,19,29,38,221,10,435663
75,11,14,11,11,11,12,17,10,435666
87,11,15,21,21,11,13,15,10,435669
11,11,16,11,11,14,246,23,10,435676
11,11,42,11,11,11,54,192,10,435679
11,11,43,11,11,28,13,215,10,435681
11,11,44,11,11,28,13,214,10,435687
11,11,45,11,11,11,54,189,10,435690
23,11,46,21,21,135,118,255,10,435695
23,11,47,21,21,135,118,254,10,435700
23,11,48,21,21,188,116,202,10,435703
23,11,49,21,21,188,116,201,10,435708
23,11,50,21,21,188,116,200,10,435713
43,11,52,11,11,12,17,228,10,435717
11,11,55,11,99,155,27,229,10,435720
27,11,11,11,12,18,184,95,10,435732
27,11,12,11,81,21,166,40,10,435736
23,11,13,21,21,29,31,226,10,435740
123,11,14,11,11,21,18,21,10,435744
75,11,15,11,11,11,13,15,10,435750
11,11,16,11,11,14,244,25,10,435752
11,11,42,11,11,11,54,192,10,435755
11,11,43,11,11,28,16,212,10,435760
11,11,44,11,11,28,16,211,10,435766
39,11,45,21,21,21,136,107,10,435768
87,11,46,21,21,135,112,16,10,435771
87,11,47,21,21,135,112,15,10,435778
23,11,48,21,21,188,111,207,10,435782
23,11,49,21,21,188,111,206,10,435787
23,11,50,21,21,188,111,205,10,435791
43,11,52,11,11,12,17,228,10,435796
11,11,55,11,99,155,27,229,10,435800
27,11,11,11,11,18,175,105,10,435832
27,11,12,11,82,21,169,36,10,435835
23,11,13,21,21,29,55,202,10,435837
59,11,14,11,11,21,16,13,10,435842
75,11,15,11,11,11,14,14,10,435846
11,11,16,11,11,14,250,19,10,435848
11,11,42,11,11,11,98,148,10,435851
11,11,43,11,11,28,17,211,10,435855
11,11,44,11,11,28,17,210,10,435860
39,11,45,21,21,21,92,151,10,435863
23,11,46,21,21,135,106,12,10,435866
87,11,47,21,21,135,106,21,10,435870
23,11,48,21,21,188,105,213,10,435876
23,11,49,21,21,188,105,212,10,435881
23,11,50,21,21,188,105,211,10,435884
43,11,52,11,11,12,17,228,10,435889
11,11,55,11,99,155,27,229,10,435895
39,11,11,21,21,18,170,110,10,435932
27,11,12,11,81,21,177,29,10,435934
11,11,13,11,12,29,61,195,10,435937
59,11,14,11,11,21,14,15,10,435941
75,11,15,11,11,11,16,12,10,435945
11,11,16,11,11,14,252,17,10,435948
11,11,42,11,11,11,142,104,10,435951
11,11,43,11,11,28,19,209,10,435954
11,11,44,11,11,28,19,208,10,435960
39,11,45,21,21,21,48,195,10,435963
23,11,46,21,21,135,100,18,10,435967
23,11,47,21,21,135,100,17,10,435973
23,11,48,21,21,188,101,217,10,435976
23,11,49,21,21,188,101,216,10,435979
23,11,50,21,21,188,101,215,10,435984
43,11,52,11,11,12,17,228,10,435989
11,11,55,11,99,155,27,229,10,435996
39,11,11,21,20,18,191,90,10,436032
27,11,12,11,80,21,157,50,10,436035
23,11,13,21,17,29,34,227,10,436037
123,11,14,11,11,21,19,20,10,436045
87,11,15,21,21,11,11,17,10,436048
23,11,16,21,21,14,245,24,10,436053
11,11,42,11,11,11,11,235,10,436058
11,11,43,11,11,28,21,207,10,436060
11,11,44,11,11,28,21,206,10,436065
39,11,45,21,21,21,180,63,10,436068
23,11,46,21,21,135,90,28,10,436070
23,11,47,21,21,135,90,27,10,436077
23,11,48,21,21,188,95,223,10,436080
23,11,49,21,21,188,95,222,10,436084
23,11,50,21,21,188,95,221,10,436090
43,11,52,11,11,12,17,228,10,436093
11,11,55,11,99,155,27,229,10,436096
39,11,11,21,21,18,203,77,10,436132
27,11,12,11,81,21,153,53,10,436134
87,11,13,21,21,28,249,19,10,436139
75,11,14,11,11,11,11,18,10,436144
123,11,15,11,11,21,21,17,10,436146
11,11,16,11,11,14,235,34,10,436151
39,11,42,21,21,21,224,22,10,436154
11,11,43,11,11,28,22,206,10,436158
11,11,44,11,11,28,22,205,10,436162
11,11,45,11,11,11,11,232,10,436165
23,11,46,21,21,135,83,35,10,436167
23,11,47,21,21,135,83,34,10,436170
23,11,48,21,21,188,90,228,10,436177
23,11,49,21,21,188,90,227,10,436180
23,11,50,21,21,188,90,226,10,436183
43,11,52,11,11,12,17,228,10,436190
11,11,55,11,99,155,27,229,10,436193
27,11,11,11,11,18,200,80,10,436232
27,11,12,11,80,21,150,57,10,436236
55,11,13,21,21,28,14,254,10,436240
75,11,14,11,11,11,11,18,10,436243
135,11,15,21,21,21,20,18,10,436248
11,11,16,11,11,14,238,31,10,436250
39,11,42,21,21,21,224,22,10,436255
11,11,43,11,11,28,25,203,10,436259
11,11,44,11,11,28,25,202,10,436264
11,11,45,11,11,11,11,232,10,436266
23,11,46,21,21,135,76,42,10,436271
23,11,47,21,21,135,76,41,10,436275
23,11,48,21,21,188,88,230,10,436280
23,11,49,21,21,188,88,229,10,436284
23,11,50,21,21,188,88,228,10,436287
43,11,52,11,11,12,17,228,10,436294
11,11,55,11,99,155,27,229,10,436298
27,11,11,11,13,18,155,123,10,436332
27,11,12,11,84,21,166,37,10,436334
23,11,13,21,19,29,33,226,10,436339
59,11,14,11,11,21,11,18,10,436342
75,11,15,11,11,11,13,15,10,436345
11,11,16,11,11,14,245,24,10,436351
11,11,42,11,11,11,54,192,10,436354
11,11,43,11,11,28,26,202,10,436358
11,11,44,11,11,28,26,201,10,436364
39,11,45,21,21,20,216,28,10,436368
23,11,46,21,21,135,71,47,10,436371
23,11,47,21,21,135,71,46,10,436378
23,11,48,21,21,188,84,234,10,436382
23,11,49,21,21,188,84,233,10,436387
23,11,50,21,21,188,84,232,10,436392
43,11,52,11,11,12,17,228,10,436397
11,11,55,11,99,155,27,229,10,436400
39,11,11,21,21,18,195,85,10,436433
